Sector,Calendar Year,Budget Year,Indicator,Source,Calendar Value,Budget Value,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Unit
Economy,,2019-2020,Import from Argentina,Bangladesh Bank,,608.7,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Argentina,Bangladesh Bank,,569.9,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Australia,Bangladesh Bank,,649.3,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Australia,Bangladesh Bank,,596.7,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Brazil,Bangladesh Bank,,1428.7,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Brazil,Bangladesh Bank,,1402.4,,,,,,,,,,,,,Million USD
Economy,2007,,Import from Canada,Bangladesh High Commission,344.109,,,,,,,,,,,,,,Million USD
Economy,2008,,Import from Canada,Bangladesh High Commission,270.923,,,,,,,,,,,,,,Million USD
Economy,2009,,Import from Canada,Bangladesh High Commission,551.288,,,,,,,,,,,,,,Million USD
Economy,2010,,Import from Canada,Bangladesh High Commission,578.339,,,,,,,,,,,,,,Million USD
Economy,2011,,Import from Canada,Bangladesh High Commission,557.235,,,,,,,,,,,,,,Million USD
Economy,2012,,Import from Canada,Bangladesh High Commission,526.151,,,,,,,,,,,,,,Million USD
Economy,2013,,Import from Canada,Bangladesh High Commission,641.414,,,,,,,,,,,,,,Million USD
Economy,2014,,Import from Canada,Bangladesh High Commission,637.723,,,,,,,,,,,,,,Million USD
Economy,2015,,Import from Canada,Bangladesh High Commission,707.492,,,,,,,,,,,,,,Million USD
Economy,2016,,Import from Canada,Bangladesh High Commission,582.58,,,,,,,,,,,,,,Million USD
Economy,2017,,Import from Canada,Bangladesh High Commission,561.041,,,,,,,,,,,,,,Million USD
Economy,2018,,Import from Canada,Bangladesh High Commission,502.458,,,,,,,,,,,,,,Million USD
Economy,2019,,Import from Canada,Bangladesh High Commission,940.64,,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from China,Bangladesh Bank,,11489.9,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from China,Bangladesh Bank,,13638.8,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Germany,Bangladesh Bank,,860.1,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Germany,Bangladesh Bank,,1095.8,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from India,Bangladesh Bank,,"7,648",,,,,,,,,,,,,Million USD
Economy,,2017-2018,Import from India,Bangladesh Bank,,"8,619",,,,,,,,,,,,,Million USD
Economy,,2016-2017,Import from India,Bangladesh Bank,,"6,146",,,,,,,,,,,,,Million USD
Economy,,2015-2016,Import from India,Bangladesh Bank,,"5,450",,,,,,,,,,,,,Million USD
Economy,,2014-2015,Import from India,Bangladesh Bank,,"5,817",,,,,,,,,,,,,Million USD
Economy,,2013-2014,Import from India,Bangladesh Bank,,"6,035",,,,,,,,,,,,,Million USD
Economy,,2012-2013,Import from India,Bangladesh Bank,,"4,741",,,,,,,,,,,,,Million USD
Economy,,2011-2012,Import from India,Bangladesh Bank,,"4,743",,,,,,,,,,,,,Million USD
Economy,,2010-2011,Import from India,Bangladesh Bank,,"4,564",,,,,,,,,,,,,Million USD
Economy,,2009-2010,Import from India,Bangladesh Bank,,"3,515",,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from India,Bangladesh Bank,,"5,770",,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Indonesia,Bangladesh Bank,,2126.1,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Indonesia,Bangladesh Bank,,1940.3,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Japan,Bangladesh Bank,,1720.7,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Japan,Bangladesh Bank,,1864.3,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Korea,Bangladesh Bank,,1030.3,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Korea,Bangladesh Bank,,1314.7,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Malaysia,Bangladesh Bank,,1671.3,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Malaysia,Bangladesh Bank,,1496,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from other countries,Bangladesh Bank,,7601.2,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from other countries,Bangladesh Bank,,8766.7,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Qatar,Bangladesh Bank,,1218.7,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Qatar,Bangladesh Bank,,1050.5,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Import from Russia,Bangladesh Bank,,324.11,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Import from Russia,Bangladesh Bank,,346.32,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Import from Russia,Bangladesh Bank,,286.42,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Import from Russia,Bangladesh Bank,,225.78,,,,,,,,,,,,,Million USD
Economy,,2015-2016,Import from Russia,Bangladesh Bank,,280.3,,,,,,,,,,,,,Million USD
Economy,,2016-2017,Import from Russia,Bangladesh Bank,,465.64,,,,,,,,,,,,,Million USD
Economy,,2017-2018,Import from Russia,Bangladesh Bank,,629.8,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Russia,Bangladesh Bank,,653.05,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Russia,Bangladesh Bank,,781.9,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Saudi Arabia,Bangladesh Bank,,1091.2,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Saudi Arabia,Bangladesh Bank,,996.7,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Singapore,Bangladesh Bank,,1716.2,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Singapore,Bangladesh Bank,,3105.7,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Taiwan,Bangladesh Bank,,849.5,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Taiwan,Bangladesh Bank,,974.8,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from Thailand,Bangladesh Bank,,801.6,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Thailand,Bangladesh Bank,,957,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from United Arab Emirates(UAE),Bangladesh Bank,,720,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from United Arab Emirates(UAE),Bangladesh Bank,,1222.6,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import from USA,US Census,,2.6,,,,,,,,,,,,,Billion USD
Economy,,2018-2019,Import from USA,US Census,,1.9,,,,,,,,,,,,,Billion USD
Economy,,2017-2018,Import from USA,US Census,,1.7,,,,,,,,,,,,,Billion USD
Economy,,2016-2017,Import from USA,US Census,,1.1,,,,,,,,,,,,,Billion USD
Economy,,2015-2016,Import from USA,US Census,,1,,,,,,,,,,,,,Billion USD
Economy,,2014-2015,Import from USA,US Census,,0.8,,,,,,,,,,,,,Billion USD
Economy,,2013-2014,Import from USA,US Census,,0.8,,,,,,,,,,,,,Billion USD
Economy,,2012-2013,Import from USA,US Census,,0.5,,,,,,,,,,,,,Billion USD
Economy,,2011-2012,Import from USA,US Census,,0.7,,,,,,,,,,,,,Billion USD
Economy,,2010-2011,Import from USA,US Census,,0.7,,,,,,,,,,,,,Billion USD
Economy,,2019-2020,Import from Vietnam,Bangladesh Bank,,555.1,,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import from Vietnam,Bangladesh Bank,,545.8,,,,,,,,,,,,,Million USD
Economy,,2019-2020,Import(others),Bangladesh Bank,,"10,503",,,,,,,,,,,,,Million USD
Economy,,2018-2019,Import(others),Bangladesh Bank,,"12,785",,,,,,,,,,,,,Million USD
Economy,,2017-2018,Import(others),Bangladesh Bank,,"12,526",,,,,,,,,,,,,Million USD
Economy,,2016-2017,Import(others),Bangladesh Bank,,"10,545",,,,,,,,,,,,,Million USD
Economy,,2015-2016,Import(others),Bangladesh Bank,,9846.4,,,,,,,,,,,,,Million USD
Economy,,2014-2015,Import(others),Bangladesh Bank,,8616.2,,,,,,,,,,,,,Million USD
Economy,,2013-2014,Import(others),Bangladesh Bank,,8603.55,,,,,,,,,,,,,Million USD
Economy,,2012-2013,Import(others),Bangladesh Bank,,6860,,,,,,,,,,,,,Million USD
Economy,,2011-2012,Import(others),Bangladesh Bank,,7889,,,,,,,,,,,,,Million USD
Economy,,2010-2011,Import(others),Bangladesh Bank,,7132,,,,,,,,,,,,,Million USD
Economy,,2009-2010,Import(others),Bangladesh Bank,,5862,,,,,,,,,,,,,Million USD
Economy,,2008-2009,Import(others),Bangladesh Bank,,5289,,,,,,,,,,,,,Million USD
Economy,,2007-2008,Import(others),Bangladesh Bank,,4385,,,,,,,,,,,,,Million USD
Economy,,2006-2007,Import(others),Bangladesh Bank,,3401,,,,,,,,,,,,,Million USD
Economy,,2005-2006,Import(others),Bangladesh Bank,,2887,,,,,,,,,,,,,Million USD
Economy,,2004-2005,Import(others),Bangladesh Bank,,2727,,,,,,,,,,,,,Million USD
Economy,2016,,Income Inequality in Bangladesh,Bangladesh Bureau of Statistics (BBS),0.482,,,,,,,,,,,,,,Number
Economy,2010,,Income Inequality in Bangladesh,Bangladesh Bureau of Statistics (BBS),0.458,,,,,,,,,,,,,,Number
Economy,2005,,Income Inequality in Bangladesh,Bangladesh Bureau of Statistics (BBS),0.467,,,,,,,,,,,,,,Number
Economy,2000,,Income Inequality in Bangladesh,Bangladesh Bureau of Statistics (BBS),0.451,,,,,,,,,,,,,,Number
Economy,,2018-2019,Income Tax Revenue,National Board of Revenue (NBR),,"72,900",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Income Tax Revenue,National Board of Revenue (NBR),,"73,004",,,,,,,,,,,,,Crore BDT
Economy,2021,,Income Tax Revenue,National Board of Revenue (NBR),,,,,,,,,4732.9,,,,,,Crore BDT
Economy,,2010-2011,Industry sector contribution (%) to GDP,Ministry of Finance,,27%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,Industry sector contribution (%) to GDP,Ministry of Finance,,28%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,Industry sector contribution (%) to GDP,Ministry of Finance,,29.0%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,Industry sector contribution (%) to GDP,Ministry of Finance,,30%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,Industry sector contribution (%) to GDP,Ministry of Finance,,30%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,Industry sector contribution (%) to GDP,Ministry of Finance,,32%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Industry sector contribution (%) to GDP,Ministry of Finance,,32%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,Industry sector contribution (%) to GDP,Ministry of Finance,,34%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,Industry sector contribution (%) to GDP,Ministry of Finance,,35.0%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Industry sector contribution (%) to GDP,Ministry of Finance,,36%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Interest Payment by Govt.,Ministry of Finance,,"57,660",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Interest Payment by Govt.,Ministry of Finance,,"49,460",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Interest Payment by Govt.,Ministry of Finance,,"41,770",,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Interest Payment by Govt.,Ministry of Finance,,"35,380",,,,,,,,,,,,,Crore BDT
Economy,,2015-2016,Interest Payment by Govt.,Ministry of Finance,,"33,110",,,,,,,,,,,,,Crore BDT
Economy,,2014-2015,Interest Payment by Govt.,Ministry of Finance,,"30,970",,,,,,,,,,,,,Crore BDT
Economy,,2014-2015,Interest Payment by Govt. - Domestic Loan,Ministry of Finance,,"29,440",,,,,,,,,,,,,Crore BDT
Economy,,2015-2016,Interest Payment by Govt. - Domestic Loan,Ministry of Finance,,"31,470",,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Interest Payment by Govt. - Domestic Loan,Ministry of Finance,,"33,540",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Interest Payment by Govt. - Domestic Loan,Ministry of Finance,,"38,160",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Interest Payment by Govt. - Domestic Loan,Ministry of Finance,,"46,010",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Interest Payment by Govt. - Domestic Loan,Ministry of Finance,,"52,800",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Interest Payment by Govt. - Foreign Loan,Ministry of Finance,,"4,870",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Interest Payment by Govt. - Foreign Loan,Ministry of Finance,,"3,450",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Interest Payment by Govt. - Foreign Loan,Ministry of Finance,,"3,610",,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Interest Payment by Govt. - Foreign Loan,Ministry of Finance,,"1,840",,,,,,,,,,,,,Crore BDT
Economy,,2015-2016,Interest Payment by Govt. - Foreign Loan,Ministry of Finance,,"1,650",,,,,,,,,,,,,Crore BDT
Economy,,2014-2015,Interest Payment by Govt. - Foreign Loan,Ministry of Finance,,"1,540",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,32%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,32%,,,,,,,,,,,,,Percentage
Economy,,2009-2010,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,26%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,27%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,28%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,28%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,29%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,29%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,30%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,31%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,31%,,,,,,,,,,,,,Percentage
Economy,,2020-2021,Investment to GDP ratio (%),Bangladesh Bureau of Statistics (BBS),,30%,,,,,,,,,,,,,Percentage
Economy,,2009-2010,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,2.06%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.98%,,,,,,,,,,,,,Percentage
Economy,,2011-2012,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.90%,,,,,,,,,,,,,Percentage
Economy,,2012-2013,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.84%,,,,,,,,,,,,,Percentage
Economy,,2013-2014,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.78%,,,,,,,,,,,,,Percentage
Economy,,2014-2015,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.73%,,,,,,,,,,,,,Percentage
Economy,,2015-2016,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.66%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.60%,,,,,,,,,,,,,Percentage
Economy,,2017-2018,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.53%,,,,,,,,,,,,,Percentage
Economy,,2018-2019,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.47%,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Livestock Contribution (%) to GDP,Bangladesh Bureau of Statistics (BBS),,1.46%,,,,,,,,,,,,,Percentage
Economy,2016,,Loan or Credit in Private Sector,Bangladesh Bank,"717,019",,,,,,,,,,,,"620,506",,Crore BDT
Economy,,2014-2015,National Budget,Ministry of Finance,,2.5,,,,,,,,,,,,,Trillion BDT
Economy,,2015-2016,National Budget,Ministry of Finance,,2.95,,,,,,,,,,,,,Trillion BDT
Economy,,2016-2017,National Budget,Ministry of Finance,,3.4,,,,,,,,,,,,,Trillion BDT
Economy,,2017-2018,National Budget,Ministry of Finance,,4,,,,,,,,,,,,,Trillion BDT
Economy,,2018-2019,National Budget,Ministry of Finance,,4.64,,,,,,,,,,,,,Trillion BDT
Economy,,2019-2020,National Budget,Ministry of Finance,,5.25,,,,,,,,,,,,,Trillion BDT
Economy,2019,,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),-488,,,,,,,,,,,,,,Crore BDT
Economy,2018,,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),-593,,,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),,"3,884.5",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),,"3,102.5",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),,"1,462",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),,"2,346",,,,,,,,,,,,,Crore BDT
Economy,,2020-2021,Net Foreign Investment - DSE,Dhaka Stock Exchange (DSE),,"-1,870",,,,,,,,,,,,,Crore BDT
Economy,,2000-2001,Net Investment in Savings Certificate,Department of National Savings,,4237.26,,,,,,,,,,,,,Crore BDT
Economy,,2001-2002,Net Investment in Savings Certificate,Department of National Savings,,4666.73,,,,,,,,,,,,,Crore BDT
Economy,,2002-2003,Net Investment in Savings Certificate,Department of National Savings,,4306.02,,,,,,,,,,,,,Crore BDT
Economy,,2003-2004,Net Investment in Savings Certificate,Department of National Savings,,3905.58,,,,,,,,,,,,,Crore BDT
Economy,,2004-2005,Net Investment in Savings Certificate,Department of National Savings,,2496.07,,,,,,,,,,,,,Crore BDT
Economy,,2005-2006,Net Investment in Savings Certificate,Department of National Savings,,2966.58,,,,,,,,,,,,,Crore BDT
Economy,,2006-2007,Net Investment in Savings Certificate,Department of National Savings,,4174.92,,,,,,,,,,,,,Crore BDT
Economy,,2007-2008,Net Investment in Savings Certificate,Department of National Savings,,2518.32,,,,,,,,,,,,,Crore BDT
Economy,,2008-2009,Net Investment in Savings Certificate,Department of National Savings,,3633.32,,,,,,,,,,,,,Crore BDT
Economy,,2009-2010,Net Investment in Savings Certificate,Department of National Savings,,"11,590.64",,,,,,,,,,,,,Crore BDT
Economy,,2010-2011,Net Investment in Savings Certificate,Department of National Savings,,2056.90,,,,,,,,,,,,,Crore BDT
Economy,,2011-2012,Net Investment in Savings Certificate,Department of National Savings,,479.02,,,,,,,,,,,,,Crore BDT
Economy,,2012-2013,Net Investment in Savings Certificate,Department of National Savings,,772.84,,,,,,,,,,,,,Crore BDT
Economy,,2013-2014,Net Investment in Savings Certificate,Department of National Savings,,"11,707.31",,,,,,,,,,,,,Crore BDT
Economy,,2014-2015,Net Investment in Savings Certificate,Department of National Savings,,"28,732.64",,,,,,,,,,,,,Crore BDT
Economy,,2015-2016,Net Investment in Savings Certificate,Department of National Savings,,"33,688.60",,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Net Investment in Savings Certificate,Department of National Savings,,"52,417.46",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Net Investment in Savings Certificate,Department of National Savings,,"46,530.3",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Net Investment in Savings Certificate,Department of National Savings,,"49,939.48",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Net Investment in Savings Certificate,Department of National Savings,,"14,428.35",,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"46,590",,,,,,,,,,,,,Crore BDT
Economy,,2016-2017,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"52,417",,,,,,,,,,,,,Crore BDT
Economy,,2015-2016,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"33,689",,,,,,,,,,,,,Crore BDT
Economy,,2014-2015,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"28,733",,,,,,,,,,,,,Crore BDT
Economy,,2013-2014,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"11,707",,,,,,,,,,,,,Crore BDT
Economy,,2012-2013,Net Sales of Savings certificate (NSC),Bangladesh Bank,,773,,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"49,939",,,,,,,,,,,,,Crore BDT
Economy,,2019-2020,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"14,428",,,,,,,,,,,,,Crore BDT
Economy,,2010-2011,Net Sales of Savings certificate (NSC),Bangladesh Bank,,"2,057",,,,,,,,,,,,,Crore BDT
Economy,,2011-2012,Net Sales of Savings certificate (NSC),Bangladesh Bank,,479,,,,,,,,,,,,,Crore BDT
Economy,,2011-2012,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,11.15%,,,,,,,,,,,,,Percentage
Economy,,2010-2011,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,4.15%,,,,,,,,,,,,,Percentage
Economy,,2009-2010,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,5.45%,,,,,,,,,,,,,Percentage
Economy,,2008-2009,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,5.91%,,,,,,,,,,,,,Percentage
Economy,,2007-2008,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,6.32%,,,,,,,,,,,,,Percentage
Economy,,2006-2007,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,5.90%,,,,,,,,,,,,,Percentage
Economy,,2005-2006,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,6.40%,,,,,,,,,,,,,Percentage
Economy,,2004-2005,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,4.33%,,,,,,,,,,,,,Percentage
Economy,,2003-2004,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,4.37%,,,,,,,,,,,,,Percentage
Economy,,2002-2003,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,5.66%,,,,,,,,,,,,,Percentage
Economy,,2001-2002,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,4.61%,,,,,,,,,,,,,Percentage
Economy,,2000-2001,Inflation (Non-food)- Average,Bangladesh Bureau of Statistics (BBS),,3.05%,,,,,,,,,,,,,Percentage
Economy,,2016-2017,Online / E-payment of Import duty,Export Promotion Bureau (EPB),,630,,,,,,,,,,,,,Crore BDT
Economy,,2017-2018,Online / E-payment of Import duty,National Board of Revenue (NBR),,"1,450",,,,,,,,,,,,,Crore BDT
Economy,,2018-2019,Online / E-payment of Import duty,National Board of Revenue (NBR),,"1,130",,,,,,,,,,,,,Crore BDT
Economy,2010,,Outward FDI from Bangladesh,Bangladesh Bank,15,,,,,,,,,,,,,,Million USD
Economy,2011,,Outward FDI from Bangladesh,Bangladesh Bank,13,,,,,,,,,,,,,,Million USD
Economy,2012,,Outward FDI from Bangladesh,Bangladesh Bank,43,,,,,,,,,,,,,,Million USD
Economy,2013,,Outward FDI from Bangladesh,Bangladesh Bank,33,,,,,,,,,,,,,,Million USD
Economy,2014,,Outward FDI from Bangladesh,Bangladesh Bank,48,,,,,,,,,,,,,,Million USD
Economy,2015,,Outward FDI from Bangladesh,Bangladesh Bank,46,,,,,,,,,,,,,,Million USD
Economy,2016,,Outward FDI from Bangladesh,Bangladesh Bank,41,,,,,,,,,,,,,,Million USD
Economy,2017,,Outward FDI from Bangladesh,Bangladesh Bank,142,,,,,,,,,,,,,,Million USD
Economy,2018,,Outward FDI from Bangladesh,Bangladesh Bank,23,,,,,,,,,,,,,,Million USD
Economy,2019,,Outward FDI from Bangladesh,Bangladesh Bank,-1,,,,,,,,,,,,,,Million USD
Economy,2000,,Overall Poverty (%),Bangladesh Bureau of Statistics (BBS),48.9%,,,,,,,,,,,,,,Percentage
Economy,2005,,Overall Poverty (%),Bangladesh Bureau of Statistics (BBS),40.0%,,,,,,,,,,,,,,Percentage
Economy,2010,,Overall Poverty (%),Bangladesh Bureau of Statistics (BBS),31.5%,,,,,,,,,,,,,,Percentage
Economy,2016,,Overall Poverty (%),Bangladesh Bureau of Statistics (BBS),24.3%,,,,,,,,,,,,,,Percentage
Economy,2019,,Overall Poverty (%),Bangladesh Bureau of Statistics (BBS),20.5%,,,,,,,,,,,,,,Percentage
Economy,,2019-2020,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"2,064",,,,,,,,,,,,,USD
Economy,2010,,Per capita Gross National Income (GNI),World Bank,800,,,,,,,,,,,,,,USD
Economy,2011,,Per capita Gross National Income (GNI),World Bank,890,,,,,,,,,,,,,,USD
Economy,2012,,Per capita Gross National Income (GNI),World Bank,970,,,,,,,,,,,,,,USD
Economy,2013,,Per capita Gross National Income (GNI),World Bank,"1,040",,,,,,,,,,,,,,USD
Economy,2014,,Per capita Gross National Income (GNI),World Bank,"1,110",,,,,,,,,,,,,,USD
Economy,2015,,Per capita Gross National Income (GNI),World Bank,"1,220",,,,,,,,,,,,,,USD
Economy,2016,,Per capita Gross National Income (GNI),World Bank,"1,370",,,,,,,,,,,,,,USD
Economy,2017,,Per capita Gross National Income (GNI),World Bank,"1,520",,,,,,,,,,,,,,USD
Economy,2018,,Per capita Gross National Income (GNI),World Bank,"1,750",,,,,,,,,,,,,,USD
Economy,2019,,Per capita Gross National Income (GNI),World Bank,"1,940",,,,,,,,,,,,,,USD
Economy,2000,,Per capita Gross National Income (GNI),World Bank,440,,,,,,,,,,,,,,USD
Economy,2001,,Per capita Gross National Income (GNI),World Bank,440,,,,,,,,,,,,,,USD
Economy,2002,,Per capita Gross National Income (GNI),World Bank,440,,,,,,,,,,,,,,USD
Economy,2003,,Per capita Gross National Income (GNI),World Bank,460,,,,,,,,,,,,,,USD
Economy,2004,,Per capita Gross National Income (GNI),World Bank,510,,,,,,,,,,,,,,USD
Economy,2005,,Per capita Gross National Income (GNI),World Bank,550,,,,,,,,,,,,,,USD
Economy,2006,,Per capita Gross National Income (GNI),World Bank,570,,,,,,,,,,,,,,USD
Economy,2007,,Per capita Gross National Income (GNI),World Bank,610,,,,,,,,,,,,,,USD
Economy,2008,,Per capita Gross National Income (GNI),World Bank,660,,,,,,,,,,,,,,USD
Economy,2009,,Per capita Gross National Income (GNI),World Bank,730,,,,,,,,,,,,,,USD
Economy,,2010-2011,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,848,,,,,,,,,,,,,USD
Economy,,2011-2012,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,923,,,,,,,,,,,,,USD
Economy,,2012-2013,Per capita Gross National Income (GNI),Bangladesh Bureau of Statistics (BBS),,"1,154",,,,,,,,,,,,,USD
